,City,Country,Date,Lat,Long,Temperature,Humidity,Wind Speed,Cloud Cover
47,busselton,AU,1584039702,-33.65,115.33,61.77,42,17.11,86
48,sitka,US,1584039643,57.05,-135.33,28.06,80,4.7,40
49,samana,DO,1584039702,19.21,-69.34,81.41,83,4.7,75
50,yei,SS,1584039702,4.09,30.68,70.88,93,7.87,91
51,saint-philippe,RE,1584039702,-21.36,55.77,77.43,88,4.7,75
52,ushumun,RU,1584039702,52.78,126.53,-10.84,82,9.91,0
53,banjarmasin,ID,1584039610,-3.32,114.59,80.78,83,5.03,100
54,ponta do sol,PT,1584039703,38.73,-28.27,62.6,72,9.17,40
55,cape town,CL,1584039703,-36.41,-71.9,80.6,39,8.05,20
56,cayenne,GF,1584039697,4.93,-52.33,87.8,55,11.41,40
57,nabire,ID,1584039703,-3.37,135.48,72.86,92,2.13,96
58,chuy,UY,1584039703,-33.7,-53.46,90.5,44,8.1,47
59,pacific grove,US,1584039703,38.48,-90.74,54.16,87,17.22,90
60,touros,BR,1584039703,-5.2,-35.46,80.6,83,6.93,75
61,urucui,BR,1584039703,-7.23,-44.56,87.98,61,2.71,50
62,castro,BR,1584039703,-24.79,-50.01,79.88,48,6.38,19
63,bilibino,RU,1584039703,68.05,166.44,0.14,95,5.26,100
64,mahebourg,MU,1584039703,-20.41,57.7,78.44,94,6.93,75
65,nikolskoye,RU,1584039703,59.7,30.79,38.08,86,8.95,75
66,mar del plata,ES,1584039704,43.4,-4.01,51.82,100,1.12,90
67,punta arenas,PH,1584039704,8.99,125.34,71.96,90,4.56,5
68,bredasdorp,ZA,1584039704,-34.53,20.04,66.2,88,4.7,21
69,xuddur,SO,1584039704,4.12,43.89,81.14,28,11.39,100
70,bhadrak,IN,1584039704,21.06,86.51,75.74,86,1.99,51
71,tuktoyaktuk,CA,1584039704,69.45,-133.04,-32.8,73,6.93,5
72,puerto carreno,ES,1584039704,36.59,-6.23,63.72,77,4.7,20
73,port alfred,CD,1584039701,-7.03,29.76,78.44,70,4.41,100
74,san policarpo,ML,1584039601,13.3,-4.9,96.26,7,7.2,0
75,coruripe,BR,1584039624,-10.13,-36.18,83.12,74,14.9,62
76,honiara,SB,1584039704,-9.43,159.95,77.0,88,8.05,90
77,komsomolskiy,UZ,1584039705,40.43,71.72,48.2,61,4.7,0
78,airai,TL,1584039705,-8.93,125.41,66.92,96,1.99,75
79,tsaratanana,MG,1584039705,-16.78,47.65,71.6,74,9.71,29
80,tabou,CI,1584039705,4.42,-7.35,80.6,90,4.27,98
81,new norfolk,LR,1584039565,6.65,-10.59,86.0,79,6.93,75
82,tautira,PF,1584039705,-17.73,-149.15,84.09,74,5.82,75
83,estevan,CA,1584039705,49.13,-102.98,30.09,58,28.86,75
84,inuvik,CA,1584039705,68.35,-133.72,-21.23,74,2.24,5
85,emirdag,TR,1584039705,39.02,31.15,47.48,56,8.16,81
86,pisco,PE,1584039705,-13.7,-76.22,74.34,30,12.75,59
87,zapresic,HR,1584039705,45.86,15.81,56.61,58,9.17,55
88,geraldton,AU,1584039706,-28.77,114.6,70.2,73,5.82,50
89,biloela,AU,1584039706,-24.42,150.5,64.58,71,19.1,0
90,gilgit,PK,1584039595,35.92,74.31,16.7,61,3.74,62
91,clyde river,US,1584039706,41.3,-82.98,54.19,66,13.87,90
92,barrow,US,1584039706,71.29,-156.79,-9.4,69,16.11,90
93,zhigansk,RU,1584039706,66.77,123.37,-3.82,96,22.35,100
94,progress,US,1584039706,40.29,-76.83,57.09,47,10.29,75
95,naze,JP,1584039706,28.37,129.48,53.6,100,3.36,90
96,puerto ayora,ES,1584039706,36.59,-6.23,63.72,77,4.7,20
97,vanimo,PG,1584039706,-2.67,141.3,82.04,79,7.99,75
98,alofi,NU,1584039651,-19.06,-169.92,77.0,94,3.36,100
99,nome,US,1584039662,64.5,-165.41,24.91,79,18.34,90
100,nantucket,US,1584039443,41.28,-70.1,47.21,61,14.99,1
101,thompson,CA,1584039591,55.74,-97.86,12.2,72,14.99,75
102,ayabaca,PE,1584039707,-4.64,-79.71,70.34,84,3.22,59
103,ribeira grande,ES,1584039707,42.75,-8.44,51.76,81,12.75,75
104,kalanguy,RU,1584039707,51.02,116.52,8.96,97,5.39,85
105,yellowknife,CA,1584039605,62.46,-114.35,-8.5,63,10.29,90
106,klaksvik,FO,1584039707,62.23,-6.59,35.6,64,11.41,67
107,arraial do cabo,BR,1584039707,-22.84,-46.65,85.78,38,8.05,20
108,bethanien,NA,1584039708,-26.5,17.16,77.9,16,12.15,0
109,saint-ambroise,CA,1584039708,48.55,-71.33,21.06,57,2.24,90
110,mehamn,NO,1584039708,71.04,27.85,21.2,92,23.04,90
111,husavik,IS,1584039425,66.04,-17.34,21.2,67,8.05,75
112,badin,PK,1584039568,24.66,68.84,63.32,49,9.28,0
113,port elizabeth,CD,1584039701,-7.03,29.76,78.44,70,4.41,100
114,souillac,MU,1584039708,-20.52,57.52,78.42,94,6.93,75
115,bathsheba,BB,1584039708,13.22,-59.52,84.2,58,16.11,20
116,isangel,VU,1584039708,-19.55,169.27,78.08,81,5.64,76
117,monte alegre,FR,1584039708,42.47,9.39,55.51,87,3.36,90
118,zhuhai,CN,1584039708,22.28,113.57,69.85,100,2.24,40
119,vila velha,PT,1584039708,42.03,-8.16,54.7,81,17.22,87
120,pilar,BR,1584039708,-9.6,-35.96,80.6,83,13.87,75
121,buala,SB,1584039709,-8.14,159.59,77.72,84,14.97,100
122,dikson,RU,1584039709,73.51,80.55,-10.12,80,25.28,38
123,codrington,AU,1584039709,-38.27,141.97,68.36,64,18.12,90
124,leningradskiy,RU,1584039709,69.38,178.42,12.2,81,13.22,100
125,grindavik,IS,1584039709,63.84,-22.43,27.66,86,6.93,75
126,bengkulu,ID,1584039709,-3.8,102.27,75.02,91,3.58,100
127,sabang,ID,1584039709,5.89,95.32,83.12,69,5.7,94
128,guozhen,CN,1584039709,34.37,107.36,48.2,26,10.29,100
129,gushikawa,JP,1584039709,26.35,127.87,62.6,93,9.17,75
130,egvekinot,RU,1584039686,66.32,-179.17,27.86,98,21.05,100
131,dubti,ET,1584039710,11.74,41.09,76.82,45,8.86,87
132,butaritari,KI,1584039710,3.07,172.79,81.5,79,8.28,89
133,atar,MR,1584039710,20.52,-13.05,93.2,18,6.93,43
134,alvin,US,1584039673,29.42,-95.24,80.44,57,14.99,90
135,gladstone,AU,1584039710,-23.85,151.25,71.6,64,14.99,11
136,grand gaube,US,1584039710,38.88,-109.5,54.43,76,3.36,1
137,caucaia,BR,1584039710,-3.74,-38.65,82.2,78,3.36,75
138,necochea,AR,1584039710,-38.55,-58.74,87.51,65,1.99,28
139,hermanus,ZA,1584039710,-34.42,19.23,61.0,89,1.01,3
140,hamilton,US,1584039696,39.18,-84.53,63.91,59,8.05,90
141,kavieng,PG,1584039711,-2.57,150.8,84.02,73,8.12,100
142,mackay,AU,1584039619,-21.15,149.2,74.12,88,14.99,90
143,blagoyevo,RU,1584039711,63.37,47.92,33.8,99,10.45,100
144,cabo san lucas,BR,1584039711,-8.28,-35.03,86.0,66,9.17,40
145,asau,RO,1584039711,46.43,26.4,53.82,66,9.17,6
146,fukue,JP,1584039711,32.69,128.84,51.8,81,3.36,89
147,montepuez,MZ,1584039711,-13.13,39.0,72.14,97,5.86,39
148,bridgetown,BB,1584039418,13.1,-59.62,84.2,58,16.11,20
149,matagami,CA,1584039711,49.75,-77.63,32.0,90,14.99,90
150,vardo,NO,1584039711,70.37,31.11,27.48,92,31.09,90
151,pangai,TO,1584039711,-19.8,-174.35,77.0,100,2.77,75
152,longyearbyen,SJ,1584039712,78.22,15.64,-7.6,63,9.17,75
153,ostrovnoy,RU,1584039712,68.05,39.51,22.64,95,1.45,100
154,teplodar,UA,1584039712,46.51,30.33,50.0,66,15.66,17
155,windsor,CA,1584039544,42.3,-83.02,48.78,66,11.41,90
156,bluff,NZ,1584039712,-46.6,168.33,46.99,92,1.01,87
157,cherskiy,RU,1584039712,68.75,161.3,-4.9,93,5.95,100
158,narsaq,GL,1584039712,60.92,-46.05,28.4,46,4.7,20
159,ipoti,NG,1584039712,7.87,5.08,83.3,63,7.45,90
160,katherine,AU,1584039712,-14.47,132.27,77.0,78,5.82,100
161,maldonado,UY,1584039712,-34.67,-54.92,76.5,78,10.29,75
162,kapaa,US,1584039624,22.08,-159.32,69.17,83,6.93,40
163,newport,GB,1584039559,51.59,-3.0,44.53,75,20.8,40
164,meadow lake,US,1584039712,45.53,-102.22,36.66,47,27.51,33
165,romanovo,RU,1584039713,52.62,81.23,17.24,78,8.7,0
166,kinsale,IE,1584039713,51.71,-8.53,41.45,80,18.34,20
167,cidreira,BR,1584039713,-30.18,-50.21,76.64,81,11.36,97
168,vilhena,BR,1584039675,-12.74,-60.15,80.06,87,2.91,59
169,esik,KZ,1584039498,43.36,77.45,39.2,60,6.71,40
170,new baltimore,LR,1584039713,6.65,-10.59,86.0,79,6.93,75
171,talnakh,RU,1584039713,69.49,88.4,-11.2,69,11.18,7
172,salta,AR,1584039713,-24.79,-65.41,82.67,74,12.75,40
173,velizh,RU,1584039713,55.61,31.2,47.12,88,16.06,100
174,upernavik,GL,1584039626,72.79,-56.15,-16.24,89,4.9,100
175,altamont,US,1584039713,42.21,-121.74,50.27,21,1.79,1
176,catuday,PH,1584039714,16.29,119.81,81.5,77,4.45,4
177,mount gambier,GB,1584039714,53.66,-1.85,42.35,75,28.86,40
178,saskylakh,RU,1584039714,71.92,114.08,-3.1,98,7.96,100
179,bonfim,BR,1584039714,3.08,-59.95,102.92,23,5.28,67
180,porto torres,PT,1584039483,41.15,-8.61,58.42,76,13.87,77
181,nyuksenitsa,RU,1584039714,60.41,44.24,34.88,92,11.39,96
182,manado,ID,1584039517,1.49,124.85,77.0,88,1.12,40
183,aklavik,CA,1584039637,68.22,-135.01,-20.92,68,4.7,5
184,norman wells,US,1584039598,35.22,-97.44,79.7,24,14.99,70
185,prince rupert,CA,1584039715,52.97,-108.38,17.6,72,16.11,1
186,grand-santi,GF,1584039715,4.25,-54.38,101.66,27,2.73,2
187,pemangkat,ID,1584039715,1.17,108.97,76.28,92,4.72,91
188,sur,OM,1584039715,22.57,59.53,65.12,45,1.36,0
189,manadhoo,MV,1584039715,5.77,73.38,83.48,72,10.33,0
190,adre,TD,1584039715,13.47,22.2,74.66,7,11.86,100
191,thinadhoo,MV,1584039715,0.53,72.93,83.48,70,11.54,9
192,kununurra,AU,1584039715,-15.77,128.73,75.2,88,1.97,0
193,mogadishu,SO,1584039715,2.04,45.34,82.76,82,28.5,100
194,auki,SB,1584039715,-8.77,160.7,80.06,81,24.02,100
195,waraseoni,IN,1584039715,21.75,80.03,77.0,59,3.0,15
196,saint-georges,GD,1584039716,12.06,-61.75,84.2,66,17.22,40
197,piacabucu,BR,1584039716,-10.41,-36.43,85.1,67,11.83,15
198,baykit,RU,1584039693,61.67,96.37,7.34,93,1.79,57
199,kaitangata,NZ,1584039716,-46.28,169.85,50.9,84,7.38,0
200,chiman,PK,1584039716,32.55,73.81,57.2,82,18.34,75
201,margate,GB,1584039716,51.38,1.39,43.84,65,17.22,20
202,san patricio,ML,1584039540,13.3,-4.9,96.26,7,7.2,0
203,belo jardim,CM,1584039716,6.13,10.25,78.8,41,5.79,100
204,tual,ID,1584039690,-5.67,132.75,82.58,81,6.89,98
205,beringovskiy,RU,1584039643,63.05,179.32,33.62,96,36.64,100
206,hokitika,NZ,1584039716,-42.72,170.97,57.74,87,8.9,2
207,east london,IS,1584039425,65.0,-15.0,21.2,79,8.05,90
208,upington,ZA,1584039717,-28.45,21.26,78.8,27,5.82,20
209,ashcroft,CA,1584039717,50.72,-121.29,32.63,62,8.05,90
210,lezajsk,PL,1584039717,50.26,22.42,55.96,47,14.99,96
211,udachnyy,RU,1584039717,66.42,112.4,-11.2,76,17.9,90
212,namatanai,PG,1584039717,-3.67,152.43,83.48,75,13.24,99
213,miandrivazo,MG,1584039717,-19.52,45.47,81.32,73,1.95,3
214,safaga,EG,1584039717,26.73,33.94,63.32,52,36.55,80
215,shache,CN,1584039717,38.42,77.24,44.6,29,3.6,70
216,tekkali,IN,1584039717,18.62,84.23,76.28,86,0.34,5
217,kandi,BJ,1584039717,11.13,2.94,91.76,9,4.29,93
218,torbay,CA,1584039681,47.67,-52.73,28.54,92,8.05,90
219,kotma,IN,1584039717,23.2,81.97,71.6,59,6.15,0
220,balikpapan,ID,1584039718,-1.27,116.83,83.84,77,15.59,91
221,svetlyy,RU,1584039666,54.67,20.13,42.8,63,40.26,75
222,lae,PG,1584039718,-6.72,146.98,64.94,77,6.15,85
223,brae,GB,1584039718,60.4,-1.35,38.95,93,35.57,75
224,eyemouth,GB,1584039718,55.87,-2.09,40.62,87,29.97,67
225,karratha,AU,1584039718,-20.74,116.85,82.76,80,12.33,15
226,hualmay,PE,1584039718,-11.1,-77.61,82.4,51,11.03,34
227,camapua,BR,1584039718,-19.53,-54.04,89.06,51,6.26,0
228,porto novo,PT,1584039483,41.15,-8.61,58.42,76,13.87,77
229,eyl,SO,1584039718,7.98,49.82,79.16,79,24.05,99
230,sao filipe,IN,1584039718,20.51,76.21,68.18,21,8.61,39
231,colares,PT,1584039718,38.8,-9.45,57.74,76,28.86,20
232,qasigiannguit,GL,1584039718,68.82,-51.19,6.8,71,4.7,75
233,oak harbor,US,1584039719,39.89,-94.53,61.47,63,6.93,75
234,bella union,IT,1584039719,40.76,15.54,51.46,85,23.04,40
235,razdolnoye,RU,1584039719,43.55,131.92,26.6,30,15.66,90
236,jumla,NP,1584039694,29.27,82.18,33.44,72,4.92,22
237,katsuura,JP,1584039719,35.13,140.3,49.05,81,9.17,75
238,tagab,AF,1584039719,34.85,69.65,37.4,100,3.36,20
239,kamenka,RU,1584039719,51.32,42.77,39.47,87,5.01,48
240,chokurdakh,RU,1584039719,70.63,147.92,-29.38,95,5.1,20
241,otjiwarongo,NA,1584039719,-20.46,16.65,71.06,50,1.88,36
242,tambura,SS,1584039719,5.6,27.47,79.7,55,5.35,48
243,ponoka,CA,1584039720,52.68,-113.58,23.0,57,6.93,75
244,georgetown,MY,1584039488,5.41,100.34,84.13,79,4.7,20
245,kazachinskoye,RU,1584039720,57.7,93.28,26.6,93,8.5,100
246,timizart,DZ,1584039720,36.8,4.27,64.76,63,10.33,99
247,oloron-sainte-marie,FR,1584039720,43.19,-0.61,53.38,93,1.12,75
248,chifeng,CN,1584039720,42.27,118.96,19.4,28,10.69,0
249,viedma,AR,1584039720,-40.81,-63.0,93.74,12,12.88,75
250,morros,BR,1584039720,-9.45,-46.3,82.94,65,3.62,100
251,grants pass,US,1584039721,35.15,-107.85,55.4,54,6.93,40
252,ibra,OM,1584039721,22.69,58.53,68.36,29,6.38,17
253,ternate,ID,1584039721,0.8,127.4,72.86,93,3.49,75
254,salamanca,ES,1584039721,40.83,-6.0,63.25,59,1.12,100
255,sicamous,CA,1584039721,50.83,-118.99,28.4,86,2.24,1
256,guangyuan,CN,1584039721,32.44,105.82,50.09,72,7.16,81
257,fergus falls,US,1584039721,47.3,-109.27,30.83,58,5.82,1
258,saint-leu,RE,1584039721,-21.15,55.28,77.41,88,4.7,75
259,eenhana,NA,1584039721,-17.47,16.33,78.62,46,3.18,94
260,havelock,US,1584039721,34.88,-76.9,72.7,50,9.17,40
261,kalmunai,LK,1584039661,7.42,81.82,81.5,75,11.3,89
262,chengde,CN,1584039721,40.97,117.94,23.9,36,3.74,9
263,coihaique,CL,1584039721,-45.58,-72.07,53.58,93,3.36,90
264,seoul,KR,1584039722,37.57,126.98,41.65,56,5.82,90
265,dubuque,US,1584039722,42.48,-90.87,50.41,87,24.16,75
266,salisbury,GB,1584039499,51.07,-1.8,44.24,70,18.34,20
267,comrat,MD,1584039500,46.3,28.66,58.64,54,15.08,32
268,naryan-mar,RU,1584039722,67.67,53.09,34.52,100,10.63,100
269,vao,NC,1584039722,-22.67,167.48,80.06,78,8.41,95
270,praia,CV,1584039722,14.92,-23.51,86.0,28,18.34,0
271,biak,ID,1584039646,-0.91,122.88,81.32,75,3.67,16
272,chippewa falls,US,1584039722,46.3,-84.48,39.09,86,9.17,1
273,gombong,ID,1584039722,-7.61,109.51,75.38,87,1.32,94
274,atikokan,CA,1584039722,48.76,-91.62,32.72,90,3.51,100
275,benito juarez,CA,1584039722,51.91,-101.55,19.22,81,12.73,100
276,porbandar,IN,1584039722,21.64,69.61,73.94,57,15.1,0
277,vysokogornyy,RU,1584039723,50.12,139.15,7.7,95,2.98,96
278,moerai,PF,1584039723,-22.43,-151.33,80.42,76,11.39,68
279,broome,US,1584039723,42.25,-75.83,50.41,57,10.29,90
280,bandundu,CD,1584039723,-3.32,17.37,72.5,96,6.04,97
281,dahuk,IQ,1584039723,36.87,42.99,58.82,54,3.0,100
282,aksarka,RU,1584039723,66.56,67.8,33.08,98,15.21,100
283,surgut,RU,1584039723,61.25,73.42,39.2,69,11.18,100
284,kodiak,US,1584039723,57.79,-152.41,26.6,49,18.34,1
285,kieta,PG,1584039668,-6.22,155.63,82.04,79,11.21,100
286,taunggyi,MM,1584039724,20.78,97.03,63.14,43,3.8,0
287,tres palos,IT,1584039724,46.32,11.1,44.69,69,13.87,20
288,vestmanna,FO,1584039724,62.16,-7.17,35.6,64,11.41,68
289,riyadh,SA,1584039424,24.69,46.72,73.4,20,5.82,99
290,korla,CN,1584039724,41.76,86.15,34.0,94,5.48,99
291,sorland,NO,1584039629,67.67,12.69,27.59,63,18.34,75
292,cavalcante,BR,1584039724,-13.8,-47.46,73.4,83,4.68,99
293,lata,PT,1584039724,40.16,-8.33,57.13,82,18.34,40
294,san francisco,ML,1584039540,13.3,-4.9,96.26,7,7.2,0
295,usinsk,RU,1584039724,65.99,57.53,33.8,98,21.32,100
296,black river,US,1584039725,31.01,-85.74,78.1,57,8.05,75
297,methoni,GR,1584039725,36.82,21.7,55.18,66,4.7,0
298,petropavlovsk-kamchatskiy,RU,1584039725,53.05,158.65,26.6,53,11.18,75
299,yar-sale,RU,1584039725,66.83,70.83,30.38,98,16.84,100
300,novikovo,RU,1584039725,51.15,37.89,43.88,63,13.6,30
301,knysna,ZA,1584039725,-34.04,23.05,69.8,77,17.22,40
302,huilong,CN,1584039725,31.81,121.66,53.35,97,6.33,100
303,suez,EG,1584039725,29.97,32.53,60.62,68,17.25,98
304,azad shahr,AZ,1584039725,40.7,46.51,69.8,26,20.8,20
305,clarence town,US,1584039529,42.98,-78.59,48.69,66,5.82,90
306,sambava,MG,1584039726,-14.27,50.17,74.3,94,3.38,100
307,kuah,MY,1584039483,6.33,99.84,81.95,79,2.24,20
308,pevek,RU,1584039726,69.7,170.31,14.72,95,7.2,100
309,omboue,GA,1584039726,-1.57,9.26,78.8,84,4.14,81
310,kars,TR,1584039726,40.6,43.09,45.52,45,2.44,97
311,boyolangu,ID,1584039677,-8.12,111.89,73.94,93,3.85,53
312,fortuna,US,1584039726,40.6,-124.16,56.07,81,3.36,20
313,kemijarvi,FI,1584039726,66.71,27.43,28.4,97,4.16,100
314,deniliquin,AU,1584039726,-35.53,144.97,64.99,54,4.0,0
315,porto belo,PT,1584039726,41.15,-8.61,59.07,76,13.87,77
316,nyurba,RU,1584039726,63.28,118.33,12.02,94,8.03,100
317,kondagaon,IN,1584039727,19.6,81.67,75.02,57,1.12,0
318,khandyga,RU,1584039727,62.67,135.6,-23.08,99,2.42,99
319,chicama,PE,1584039727,-7.84,-79.15,77.0,78,9.17,75
320,maryborough,AU,1584039683,-25.53,152.7,64.22,84,7.02,4
321,oranjemund,NA,1584039727,-28.55,16.43,65.3,77,5.64,0
322,paidha,UG,1584039727,2.42,30.99,71.24,76,2.8,46
323,araouane,ML,1584039727,18.9,-3.53,82.58,5,5.08,10
324,hambantota,LK,1584039674,6.12,81.12,77.0,100,3.36,51
325,hofn,IS,1584039727,64.25,-15.21,30.74,74,23.29,96
326,gerash,IR,1584039727,27.67,54.14,60.8,31,1.7,48
327,chumikan,RU,1584039727,54.72,135.31,-2.02,75,6.35,92
328,santa cruz,PH,1584039728,17.49,120.43,72.5,88,2.84,0
329,sarwar,IN,1584039728,26.07,75.0,65.3,15,6.87,0
330,hastings,GB,1584039715,50.86,0.57,43.88,75,21.92,20
331,kolobovo,RU,1584039728,56.7,41.34,40.46,71,9.93,96
332,sabha,LY,1584039728,27.04,14.43,58.46,38,9.69,0
333,cabedelo,BR,1584039605,-6.98,-34.83,82.4,83,6.93,75
334,port blair,CD,1584039701,-7.03,29.76,78.44,70,4.41,100
335,rio gallegos,GR,1584039728,38.3,21.78,50.38,76,6.69,0
336,kahului,US,1584039432,20.89,-156.47,71.01,94,4.7,90
337,olinda,BR,1584039728,-8.01,-34.86,86.0,66,9.17,40
338,swift current,US,1584039728,45.27,-95.67,39.6,82,26.4,75
339,talara,PE,1584039728,-4.58,-81.27,62.6,100,12.75,40
340,cocorit,MX,1584039728,27.58,-109.97,77.0,53,12.75,90
341,harper,LR,1584039729,4.38,-7.72,80.6,90,4.27,98
342,sakakah,SA,1584039729,29.97,40.21,78.8,9,17.22,75
343,berlevag,NO,1584039729,70.86,29.09,22.28,92,31.09,90
344,mumbwa,ZM,1584039729,-14.98,27.06,67.82,88,3.8,94
345,kapit,MY,1584039729,2.02,112.93,73.04,99,1.16,33
346,poanas,MX,1584039729,25.77,-103.62,80.82,34,3.33,90
347,deputatskiy,RU,1584039729,69.3,139.9,-28.84,86,1.68,0
348,nishihara,JP,1584039729,26.18,127.76,62.6,93,9.17,75
349,turukhansk,RU,1584039729,65.82,87.98,-2.56,86,6.31,65
350,alice springs,US,1584039729,27.75,-98.07,82.72,42,10.29,1
351,batticaloa,LK,1584039729,7.71,81.69,71.6,91,2.35,5
352,andros town,GR,1584039729,37.83,24.93,59.45,58,18.34,0
353,kolokani,ML,1584039730,13.57,-8.03,96.62,6,8.19,0
354,kasongo-lunda,CD,1584039730,-6.47,16.82,70.7,95,2.73,55
355,ketchikan,US,1584039730,55.34,-131.65,36.46,80,5.82,75
356,bossangoa,CF,1584039730,6.49,17.46,85.46,12,4.09,99
357,ahuimanu,US,1584039730,21.44,-157.84,70.54,94,3.36,90
358,vista hermosa,US,1584039724,33.2,-117.24,57.42,87,7.38,90
359,upata,VE,1584039730,8.01,-62.4,98.06,27,4.12,8
360,krasnoye,UA,1584039730,49.91,24.61,57.2,62,11.18,80
361,romitan,UZ,1584039730,39.93,64.38,46.4,52,2.24,15
362,qandala,SO,1584039730,11.47,49.87,76.46,64,9.35,6
363,temnikov,RU,1584039730,54.63,43.21,39.92,73,10.8,71
364,yarada,IN,1584039730,17.65,83.27,80.6,83,2.24,20
365,abha,SA,1584039457,18.22,42.51,64.4,63,6.93,30
366,shitanjing,CN,1584039731,39.23,106.34,33.01,35,1.01,100
367,vazhiny,RU,1584039731,60.96,34.02,35.96,92,9.53,100
368,sars,RU,1584039731,56.55,57.14,35.06,98,13.35,100
369,neryungri,RU,1584039731,56.67,124.65,-16.6,59,5.21,25
370,pimenta bueno,BR,1584039731,-20.48,-45.8,78.98,63,3.58,22
371,charleston,US,1584039692,32.78,-79.93,75.78,78,11.41,75
372,ninotsminda,GE,1584039731,41.26,43.59,48.2,45,3.09,100
373,barranca,PE,1584039731,-10.75,-77.77,74.48,84,10.54,80
374,darhan,MN,1584039731,49.49,105.92,7.88,82,7.65,84
375,shirokiy,RU,1584039731,49.76,129.52,1.22,86,16.06,100
376,coahuayana,MX,1584039732,18.73,-103.68,80.6,74,7.61,75
377,eureka,US,1584039614,40.8,-124.16,55.08,81,3.36,20
378,cabinda,AO,1584039732,-5.55,12.2,86.0,74,5.82,75
379,saquena,PE,1584039732,-4.67,-73.52,100.22,37,0.18,25
380,north platte,FR,1584039728,50.33,3.67,42.39,80,17.22,20
381,laguna,US,1584039732,38.42,-121.42,65.8,55,4.7,1
382,along,IN,1584039732,28.17,94.77,56.12,88,4.14,10
383,sao joao da barra,IN,1584039732,20.51,76.21,68.18,21,8.61,39
384,riachao,BR,1584039659,-7.36,-46.62,86.36,65,1.68,84
385,catamarca,AR,1584039732,-28.47,-65.79,71.06,59,5.44,98
386,luderitz,NA,1584039732,-26.65,15.16,63.5,88,15.05,0
387,mutoko,ZW,1584039733,-17.4,32.23,68.36,86,5.73,68
388,casma,CL,1584039733,-41.01,-73.12,67.98,82,11.41,75
